〒	(ゆうびん)
超	(チョウ)〜(こ・える)(こ・す)(まさる)(わたる)『テウ
鈔	(ショウ)『セウ
晁	(チョウ)〜(あさ)
巣	{巢}巣。(ソウ)〜(す)(す・くう)『サウ
巢	{巢}巣。サウ『す『ソウ
朝	(チョウ)〜(あさ)(あ)(あそ)(ささ)(ちか)(とも)『あした『テウ
樔	(ソウ)〜(す)(すく・う)(た・える)
嘲	(チョウ)(トウ)〜(あざけ・る)『テウ
潮	(チョウ)〜(しお)(うしお)(いた)『うしほ『しほ『テウ
炒	(ソウ)(ショウ)〜(い・る)(いた・める)
麨	はったい
車	(シャ)〜(くるま)(くら)(くろま)
偖	(シャ)〜(さて)
屮	(テツ)
掣	(セイ)(セツ)〜(ひ・く)
撤	(テツ)
徹	(テツ)〜(あき)(つ)(てっ)(とおる)『とおす
抻	(シン)(チン)
嗔	(シン)〜(いか・る)
瞋	(シン)〜(い・かる)(いか・らす)
臣	(シン)(ジン)〜(おみ)(たか)(と)(とみ)(み)『やつこ
辰	(シン)(ジン)〜(たつ)(とき)(のぶ)(のぶる)(しんのたつ)
辰巳	たつみ
忱	(シン)〜(まこと)
宸	(シン)〜(のき)
陳	(チン)〜(ひ・ねる)(のぶ)『つらねる『ならべる『のべる『ひね『ふるい
晨	(シン)〜(あした)(とき)(あさ)
塵	(チン)(ジン)〜(ちり)(ごみ)『ヂン
趁	(チン)〜(お・う)
齔	(シン)(ソン)(トン)〜(かけば)
襯	(シン)〜(はだぎ)
讖	(シン)
称	{稱}称。(ショウ)〜(たた・える)(とな・える)(あ・げる)(かな・う)(はか・り)(はか・る)(ほめ・る)(ね)
稱	{稱}称。(ショウ)〜(たた・える)(とな・える)(あ・げる)(かな・う)(はか・る)(ほめ・る)
瞠	(ドウ)(トウ)〜(みは・る)『ダウ
蟶	(テイ)〜(まて)
成	(セイ)(ジョウ)〜(な・る)(な・す)(な・す)(あき)(あきら)(しげ)(そん)(たえ)(なお)(なり)(なる)(のり)(ひら)(まさ)(よし)(り)『ジャウ
丞	(ジョウ)(ショウ)〜(すく・う)(たす・ける)(すけ)
呈	(テイ)
承	(ショウ)〜(うけたまわ・る)(う・ける)(つぐ)
城	(ジョウ)〜(しろ)(いく)(がき)(き)(くに)(ぐしく)(ぐすく)(しき)(すく)(ぜい)(たち)(なり)『さし『ジャウ『ジヤウ『セイ
乗	{乘}乗。(ジョウ)(ショウ)〜(の・る)(の・り)(の・せる)(のり)
乘	{乘}乗。(ジョウ)〜(の・る)(の・せる)
棖	ほこだち
程	(テイ)〜(ほど)(ほど)(ほと)
筬	(セイ)〜(おさ)『をさ
誠	(セイ)〜(まこと)(きよ)(さと)(しげ)(とも)(のぶ)(ま)(まこ)(まさ)
酲	(テイ)
澂	(チョウ)〜(すま・す)(す・む)
澄	(チョウ)〜(す・む)(す・ます)(す・ます)(きよ)(すす)(すみ)(み)
橙	(トウ)〜(だいだい)
懲	〔懲〕懲。(チョウ)〜(こ・りる)(こ・らす)(こ・らしめる)
逞	(テイ)〜(たくま・しい)
騁	(テイ)〜(はせ・る)
秤	(ショウ)(ヒン)(ビン)〜(はかり)
吃	{吃}喫。(キツ)〜(ども・る)『チー
妛	(シ)〜(あなど・る)(おろか)(みにく・い)(みだる)
蚩	(シ)
笞	(チ)〜(むち)(しもと)
喫	{吃}喫。(キツ)
嗤	(シ)〜(わら・う)
痴	{癡}痴。(チ)〜(し・れる)(おろか)『おこ『をこ
螭	づ『みずち
鴟	{鴟}鵄。(シ)〜(とび)
鵄	{鴟}鵄。(シ)〜(とび)
魑	(チ)〜(すだま)
魑魅	すだま
癡	{癡}痴。(チ)〜(し・れる)(おろか)『おこ『をこ
黐	(チ)(リ)〜(もち)『とりもち
池	(チ)〜(いけ)
弛	(チ)(シ)〜(たる・む)(たる・める)(たゆ・む)(ゆる・む)(ゆる・み)『ゆるめる
岻	(ジ)(ニ)〜(し)
持	(ジ)〜(も・つ)(も・ち)(も・てる)(もち)(もつ)『チ『ヂ
遅	{遲}遅。(チ)〜(おく・れる)(おく・らす)(おそ・い)(じ)『おそ
馳	(チ)(ジ)〜(は・せる)
踟	(チ)
遲	{遲}遅。(チ)〜(おく・れる)(おく・らす)(おそ・い)『おそ
尺	(シャク)〜(せき)『さか『さし
叺	(かます)
呎	(シャク)〜(ふいいと)『フィート
侈	(シ)〜(おご・る)
耻	(チ)〜(は・じる)(はじ)(は・じらう)(は・ずかしい)
恥	(チ)〜(は・じる)(はじ)(は・じらう)(は・ずかしい)『はぢ
歯	{齒}歯。(シ)〜(よわい)(は)(よわ・い)(よわい・する)『よはひ
歯肉	{齒肉}歯肉。はじし
齒	{齒}歯。(シ)〜(よわい)(は)(よわ・い)(よわい・する)『よはひ
齒肉	{齒肉}歯肉。はじし
褫	(チ)〜(うば・う)
彳	(テキ)〜(たた・ずむ)(ぎょうにんべん)
𠮟	しかる『シツ
叱	(シツ)(シチ)〜(しか・る)『しっ
斥	(セキ)〜(しりぞ・ける)
赤	(セキ)(シャク)〜(あか)(あか)(あか・い)(あか・らむ)(あか・らめる)(あ)(あこ)(あま)
勅	{敕}勅。(チョク)〜(いまし・める)(みことのり)(て)(のり)
翅	(シ)〜(はね)(つばさ)
敕	{敕}勅。(チョク)〜(いまし・める)(みことのり)
飭	(チョク)(チキ)〜(いまし・める)(ただ・す)
啻	(シ)〜(ただ・ならぬ)(ただ・に)
腟	(チツ)
熾	(シ)〜(おこ・る)(おこ・す)(さかん)『おき
冲	(チュウ)〜(おき)(おきつ)(ちゅう・する)(わく)
充	(ジュウ)〜(あ・てる)(み・たす)(あつ)(のぶ)(まさ)(みち)(みつ)(よし)『みちる
沖	(チュウ)〜(おき)(おきつ)(ちゅう・する)(わく)
舂	(ショウ)〜(うすつ・く)(うすづ・く)(つ・く)
衝	(ショウ)〜(つ・く)
憧	(ショウ)(トウ)(ドウ)〜(あこが・れる)
艟	(ドウ)(ショウ)(トウ)〜(いくさぶね)
虫	〔蟲〕虫。(チュウ)(キ)〜(むし)(む)
虫の垂れ絹	むしのたれぎぬ
崇	(スウ)〜(あが・める)(す)(たか)(たかし)(たかむ)
蟲	〔蟲〕虫。(チュウ)(キ)〜(むし)
寵	(チョウ)〜(めぐ・み)(めぐ・む)
銃	(ジュウ)『つつ
抽	(チュウ)〜(ひき)『チウ『ぬきんでる『ぬく
紬	(チュウ)〜(つむぎ)(つむ・ぐ)『チウ
仇	(キュウ)(グ)〜(あだ)(あた)(かたき)(つれあい)『あだする『キウ
惆	(チュウ)〜(うら・む)
畴	(チュウ)〜(うね)(たぐい)(ひと・しい)
酬	(シュウ)(シュ)(トウ)〜(むく・いる)『シウ『むくい
稠	(チュウ)(チョウ)〜(おお・い)(し・げる)『チウ
愁	(シュウ)〜(うれ・える)(うれ・い)『シウ
綢	(チュウ)(トウ)〜(まとう)
儔	(チュウ)(ジュ)〜(ともがら)
疇	(チュウ)〜(うね)(たぐい)(ひと・しい)『チウ
籌	(チュウ)〜(かずとり)(はかりごと)『チウ
躊	(チュウ)(チュ)(シュウ)(ジュ)〜(ためら・う)
讐	(シュウ)〜(あだ)(むく・いる)(あ・たる)『シウ
讎	(シュウ)〜(あだ)(むく・いる)
丑	(チュウ)〜(うし)(ひろ)『チウ
丑寅	うしとら
醜	(シュウ)〜(みにく・い)(しこ)『シウ
臭	〔臭〕臭。(シュウ)〜(くさ・い)(くさ・い)(にお・う)(にお・い)『シウ
臭橙	だいだい
臭気	{臭氣}臭気。かざ
臭氣	{臭氣}臭気。かざ
出	(シュツ)(スイ)〜(で・る)(で)(だ・す)(だ・す)(い・でる)(い・だす)(いず)(いづ)(いで)(じ)(すっ)(すつ)(てん)『ず『づ
初	(ショ)〜(はじ・め)(はじ・めて)(はつ)(はつ)(うい)(そ・める)(ぞ・め)(し)(はっ)『うひ『うぶ
初心	うぶ
樗	(チョ)〜(おおち)(おうち)(ちょう)『あふち
齣	(シャク)(シュツ)(セキ)〜(こま)『せつ
除	(ジョ)(ジ)〜(のぞ・く)(よ・け)『ヂ『ヂョ『ヂヨ
芻	(スウ)(シュウ)(ス)〜(まぐさ)
厨	{廚}厨。(シュウ)(ズ)(チュ)(チュウ)〜(くりや)『ヅ
耡	(ジョ)〜(す・く)(すき)
蒭	(シュウ)(ス)(スウ)〜(まぐさ)
蜍	(ショ)
鋤	{鋤}鉏。(ジョ)(ショ)(ソ)〜(す・く)(すき)(くわ)『さい『さひ
廚	{廚}厨。(シュウ)(ズ)(チュ)(チュウ)〜(くりや)『ヅ
躇	(チョ)(チャク)〜(ためら・う)
雛	(スウ)(ス)(ジュ)〜(ひな)(ひよこ)『ひいな『ひひな『ひよっこ
杵	(ショ)(ソ)〜(きね)(き)
楮	(チョ)〜(こうぞ)『かうぞ『かじ『かぞ『かぢ
楚	(ソ)(ショ)〜(いばら)(しもと)(すわえ)『すはえ『すばえ
儲	(チョ)〜(もう・ける)(もう・かる)(もうけ)(たくわ・える)
礎	(ソ)〜(いしずえ)(もと)『ずゑ
処	{處}処。(ショ)〜(ところ)(こ)(お・る)『おく『か『く『と『どころ
俶	(シュク)(テキ)〜(はじめ)(よい)
畜	(チク)
處	{處}処。(ショ)〜(ところ)(こ)(お・る)『おく『か『く『と『どころ
触	{觸}触。(ショク)〜(ふ・れる)(さわ・る)(さわ)『そく
黜	(チュツ)〜(しりぞ・ける)
觸	{觸}触。(ショク)〜(ふ・れる)(さわ・る)『そく
矗	(チョク)(シュク)(チク)〜(なお・い)
揣	(シ)(スイ)(タン)〜(はか・る)
川	(セン)〜(かわ)(か)(こ)(さわ)(さんぼんがわ)『かは
川獺	かは『かわうそ
川原	かはら『かわら
巛	(セン)〜(かわ)(まがりがわ)
穿	(セン)〜(うが・つ)(は・く)
舩	(セン)〜(ふね)(ふな)
船	(セン)〜(ふね)(ふな)(ふ)
船筎	のみ
船首	みよし
船縁	{船緣}船縁。ふなべり
船緣	{船緣}船縁。ふなべり
椽	(テン)〜(えん)(たるき)
傳	〔傳〕伝。(テン)(デン)〜(つた・わる)(つた・える)(つた・う)(つて)
舛	(ブ)(セン)〜(まい)(そむ・く)(ます)(まいあし)
喘	(ゼン)(セン)〜(あえ・ぐ)(せき)
串	(カン)(ケン)(セン)〜(くし)(つらぬ・く)『くし
釧	(セン)〜(くしろ)(うでわ)(くし)
窓	{窗}窓。(ソウ)(ス)〜(まど)(てんまど)(けむだし)『サウ
窗	{窗}窓。(ソウ)(ス)〜(まど)(てんまど)(けむだし)『サウ
瘡	(ソウ)(ショウ)〜(かさ)『くさ『サウ
床	(ショウ)〜(とこ)(ゆか)『シャウ『シヤウ
牀	(ショウ)(ソウ)〜(ゆか)『シャウ『シヤウ
闖	(チン)〜(うかが・う)
剏	(ソウ)(ショウ)〜(はじ・める)
創	(ソウ)(ショウ)〜(つく・る)(はじ・める)(きず)(けず・しける)(はじめ)『サウ
愴	(ソウ)〜(いたま・しい)(いた・む)『サウ
吹	(スイ)〜(ふ・く)(ふき)
吹き皮	がは『ふきがわ
炊	(スイ)〜(た・く)(だ・き)(い)『かしぐ
垂	(スイ)〜(た・れる)(た・らす)(た・れ)(た・れ)(なんなんと・す)(たる)(だれ)『しずる『しだれる『なんなんとする
埀	(スイ)〜(た・れる)(た・らす)(なんなんと・す)
陲	(スイ)〜(ほとり)
捶	(スイ)〜(むちう・つ)
槌	(ツイ)〜(つち)
錘	{錘}鎚。(スイ)〜(つむ)(おもり)『ツイ『つち
鎚	{錘}鎚。(ツイ)(タイ)〜(つち)
春	(シュン)〜(はる)(あずま)(かす)(すの)(ひ)(わら)
椿	(チン)(チュン)〜(つばき)(つば)
鰆	(シュン)〜(さわら)『さはら
唇	{唇}脣。(シン)〜(くちびる)
純	(ジュン)〜(あつ)(すみ)(み)(やすし)(よし)
脣	{唇}脣。(シン)〜(くちびる)
淳	(ジュン)(シュン)〜(あつ・い)(あつ)(あつし)(きよ)(きよし)(まこと)(すなお)
醇	(ジュン)(シュン)〜(もっぱら)(こい)(あつい)
鶉	(ジュン)(シュン)〜(うずら)『うづら
惷	(シュン)
蠢	(シュン)〜(うご・めく)
戳	(タク)
啜	(セツ)(テツ)〜(すす・る)
綽	(シャク)〜(あだ)(しな・やか)(ゆる・やか)
輟	(テツ)〜(や・める)
齪	(サク)(ソク)(セク)(シュク)(シュウ)〜(せま・る)
疵	(シ)〜(きず)
縒	(シ)(サ)〜(よ・る)
茨	(シ)(ジ)〜(いばら)(かや)(くさぶき)(あし)(えばら)(ばら)(まつ)(まん)『うばら『むばら
祠	(シ)〜(ほこら)(まつる)
瓷	(シ)〜(かめ)
詞	(シ)『ことば
辞	{辭}辞。(ジ)〜(や・める)(いな・む)『ことば
慈	(ジ)〜(いつく・しむ)(しげ)(ちか)(めぐみ)(よし)
磁	(ジ)
雌	(シ)〜(め)(めす)(めん)
辭	{辭}辞。(ジ)〜(や・める)『ことば
此	(シ)〜(こ・れ)(こ・の)(ここ)『こ『こん
此れ	これ
此処	{此處}此処。ここ
此處	{此處}此処。ここ
此所	ここ
朿	(シ)〜(とげ)
次	(ジ)(シ)〜(つ・ぐ)(つぎ)(き)(すき)(つぐ)(よし)
刺	(シ)〜(さ・す)(さ・さる)(さ・し)(さし)(とげ)『いら『セキ
賜	(シ)〜(たまわ・る)(たま・う)(たも・う)『たまもの
匆	{匆}怱。(ソウ)〜(いそが・しい)
怱	{匆}怱。(ソウ)〜(にわか)(あわ・てる)(さと)
葱	(ソウ)〜(ねぎ)『き
楤	たら
聡	〔聰〕聡。(ソウ)〜(さと・い)(みみざと・い)(さと)(さとし)(さとる)(あき)(あきら)(とし)(さた)(みのる)
樅	(ショウ)〜(もみ)
聰	〔聰〕聡。(ソウ)〜(さと・い)(みみざと・い)(あきら)(さとし)
从	(ショウ)(ジュウ)(ジュ)〜(したが・う)(したが・える)(より)
従	{從}従。(ジュウ)(ショウ)(ジュ)〜(したが・う)(したが・える)(より)『ひろい
從	{從}従。(ジュウ)(ショウ)(ジュ)〜(したが・う)(したが・える)(より)『ひろい
淙	(ソウ)
叢	(ソウ)(ス)〜(くさむら)(むら・がる)(むら)
叢祠	ほこら
湊	(ソウ)〜(みなと)(あつ・まる)
輳	(ソウ)〜(あつ・まる)
粗	{麤}粗。(ソ)〜(あら・い)(あら)『ほぼ
麁	{麤}麁。(ソ)〜(あら・い)
麤	{麤}粗。あら『あらい『ソ『ほぼ
徂	(ソ)〜(ゆ・く)
促	(ソク)〜(うなが・す)
猝	(ソツ)〜(にわか)
蔟	(ゾク)(ソウ)〜(まぶし)
醋	(サク)〜(す)
簇	(ゾク)(ソウ)(ソク)〜(むら・がる)『むら
蹙	(シュク)(セキ)〜(せ・まる)
蹴	(シュク)(シュウ)〜(け・る)『シウ
攅	(サン)〜(あつ・まる)
篡	{篡}簒。うばう『サン
簒	{篡}簒。(サン)(セン)〜(うば・う)
竄	(ザン)(サン)〜(かく・れる)(のが・れる)
爨	(サン)〜(かし・ぐ)(かまど)
崔	(ガイ)(サイ)(スイ)〜(がけ)
催	(サイ)〜(もよう・す)(もよお・す)
摧	(サイ)(サ)〜(くだ・く)『くだける
榱	(スイ)〜(たるき)
伜	(サイ)(ソツ)(ソチ)〜(せがれ)
忰	(スイ)〜(せがれ)(やつ・れる)
脆	(ゼイ)(セイ)(セツ)〜(もろ・い)(よわい)
翆	(スイ)〜(かわせみ)(みどり)
萃	(スイ)(サイ)〜(あつ・まる)
淬	(サイ)〜(にらぐ)
悴	(スイ)〜(せがれ)(やつ・れる)『かせ
毳	(ゼイ)(セイ)(セツ)〜(けば)(むくげ)
瘁	(スイ)〜(つか・れる)
粹	{粹}粋。(スイ)〜(いき)
翠	(スイ)〜(かわせみ)(みどり)(あきら)
膵	(スイ)『スイẎ
邨	(ソン)〜(むら)
村	(ソン)〜(むら)(え)(むた)(ら)
皴	(シュン)〜(ひび)(しわ)
存	(ソン)(ゾン)〜(まさ)
拵	(ソン)〜(こしら・える)
忖	(ソン)〜(はか・る)
寸	(スン)〜(す)(みき)『き
寸莎	すさ『つた
吋	(トウ)(ドウ)(スン)〜(いんち)
搓	(サ)(サイ)〜(よ・る)
瑳	(サ)〜(みが・く)
磋	(サ)〜(みが・く)
撮	(サツ)〜(と・る)(つま・む)(ど・り)
蹉	(サ)〜(つまず・く)
嵯	(サ)(シ)
嵯峨	さが
嵳	(サ)
痤	にきみ
挫	(ザ)(サ)〜(くじ・く)(くじ・ける)
措	(ソ)〜(お・く)
錯	(サク)(シャク)『こすり
搭	(トウ)『タフ
迚	(とても)(とて)
怛	(ダツ)(タン)(タツ)〜(いた・む)
妲	(ダツ)
逹	(タツ)(ダ)〜(たち)(て)
剳	(トウ)(サツ)(チョウ)〜(さ・す)
達	(タツ)(ダ)〜(たち)(かつ)(さと)(て)(てつ)(とおる)(みち)『ダチ
答	(トウ)〜(こた・える)(こた・え)(どう)『いらえる『タフ
靼	(タン)(タチ)(タツ)〜(なめ・す)(なめしがわ)
燵	(タツ)
韃	(ダツ)(タツ)〜(だっ)
打	(ダ)(ダアス)〜(う・つ)(う・ち)(ぶ・つ)(うち)『チャウ『チョウ
大	(ダイ)(タイ)〜(おお)(おお・きい)(おお・いに)(うふ)(お)(おう)(た)(たかし)(とも)(はじめ)(ひろ)(ひろし)(まさ)(まさる)(もと)(わ)『おほ
大凡	おおよそ『おほ
大夫	まえつきみ『まへ
大口魚	たら
大領	おおくび『おほ
大粟	おおあわ『おほあは
大蒜	にんにく
大雁	おおがり『おほ
大御	おおむ『おおん『おほ
呆	(ホウ)〜(ほけ・る)(ぼ・ける)(あき・れる)(おろか)『ハウ『バウ『ボウ
歹	(ガツ)(ガチ)(タイ)〜(がつへん)(いちたへん)(しにがまえ)
逮	(タイ)
代	(ダイ)(タイ)〜(か・わる)(かわ・る)(かわ・り)(がわ・り)(か・える)(よ)(しろ)(す)
垈	(ハツ)(ボチ)〜(ぬた)
岱	(タイ)
玳	(タイ)〜(たいまい)
殆	(タイ)(サイ)〜(ほとほと)(ほとん・ど)(あやうい)
待	(タイ)〜(ま・つ)(ま・ち)(まち)(まつ)
怠	(タイ)〜(おこた・る)(なま・ける)『ダイ『だるい
帯	{帶}帯。(タイ)〜(お・びる)(おび)(たて)
帶	{帶}帯。(タイ)〜(お・びる)(おび)
袋	(タイ)(ダイ)〜(ふくろ)(てい)(ない)(ぶく)
紿	(タイ)〜(あざむ・く)
貸	(タイ)〜(か・す)(か・し)(かし)
戴	(タイ)〜(いただ・く)
黛	(タイ)〜(まゆずみ)
靆	(タイ)
卩	(セツ)〜(わりふ)(ふしづくり)
丹	(タン)〜(に)(た)(たみ)(まこと)『あかい
担	{擔}担。(タン)〜(かつ・ぐ)(にな・う)
眈	(タン)〜(にら・む)
単	{單}単。(タン)〜(ひとえ)
耽	(タン)〜(ふ・ける)
酖	(タン)(チン)〜(ふ・ける)
單	{單}単。(タン)〜(ひとえ)
鄲	(タン)
箪	{簞}箪。(タン)〜(はこ)
褝	(タン)(ゼン)〜(ひとえ)
殫	(タン)〜(つき・る)
簞	{簞}箪。タン
胆	{膽}胆。(タン)〜(きも)(い)(まこと)
疸	(タン)
亶	(タン)(セン)〜(あつ・い)(ほしいまま)
擔	{擔}担。(タン)〜(かつ・ぐ)(にな・う)
膽	{膽}胆。(タン)〜(きも)『い
旦	(タン)(ダン)〜(あき・らか)(あきら)(ただし)(あさ)(あした)
但	(タン)〜(ただ・し)(たじ)『ただ『ただし
啗	(タン)〜(く・らわす)(く・う)(く・らう)
啖	(タン)〜(く・う)(くらわ・す)
淡	(タン)〜(あわ・い)
蛋	(タン)
蜑	(タン)〜(あま)
誕	(タン)
憚	(タン)(タ)〜(はばか・る)
彈	〔彈〕弾。(ダン)(タン)〜(ひ・く)(はず・む)(たま)(はじ・く)(はじ・ける)(ただ・す)
餤	(タン)
澹	(タン)(セン)〜(あわ・い)
憺	(タン)
当	{當}当。(トウ)〜(あ・たる)(あ・たり)(あ・てる)(あ・て)(まさ・に)(まさ・にべし)(たい)『タウ『はた『まさに…べし
当て	あて
當	{當}当。(トウ)〜(あ・たる)(あ・てる)(まさ・に)(と)『タウ『はた『まさに…べし
當て	あて
璫	こじり
襠	(トウ)〜(ふんどし)(まち)
蟷	(トウ)
鐺	(ト)(ソウ)(トウ)〜(くさり)(こじり)(こて)(なべ)
档	(トウ)
党	{黨}党。(トウ)〜(なかま)(むら)『タウ『たむら
黨	{黨}党。(トウ)〜(なかま)(むら)『タウ『たむら
宕	(トウ)〜(すぎる)
蕩	(トウ)〜(とろ・かす)(とろ・ける)(うご・く)『タウ
盪	(トウ)〜(とろ・かす)(あら・う)(うご・く)
礑	(トウ)〜(はた)(はたと)
蘯	(トウ)〜(とろ・かす)(あら・う)(うご・く)
刀	(トウ)〜(かたな)(そり)(き)(ち)(と)(わき)『タウ
叨	(トウ)〜(みだりに)
朷	(トウ)
釖	(トウ)〜(かたな)(そり)
陦	(トウ)(チョウ)〜(しま)
倒	(トウ)〜(たお・れる)(だお・れ)(たお・す)『さか『さかしま『タウ
島	{島}嶋。(トウ)〜(しま)『タウ
祷	{禱}祷。(トウ)〜(いの・る)(いの・り)(まつ・る)『タウ
搗	(トウ)〜(つ・く)(か・つ)
槝	(かし)
嶋	{島}嶋。(トウ)〜(しま)
嶌	(トウ)〜(しま)
導	(ドウ)〜(みちび・く)(みち)『しるべ『ダウ
擣	(トウ)〜(う・つ)(つ・く)
蹈	(トウ)〜(ふ・む)
禱	{禱}祷。いのる『タウ『トウ
到	(トウ)〜(いた・る)『タウ
