〒	(ゆうびん)
布	(フ)〜(ぬの)(う)(の)(ほ)『しく『にの
步	{步}歩。あゆむ『あるく『かち『フ『ブ『ホ『ぽ
步行	{步行}歩行。かち
歩	{步}歩。(ホ)(ブ)(フ)〜(ある・く)(あゆ・む)(あ)(ゆき)(ゆみ)『かち『ぽ
歩行	{步行}歩行。かち
怖	(フ)(ホ)〜(こわ・い)(こわ・がる)(お・じる)(おそ・れる)『こは『こわ
捗	(チョク)(ホ)〜(はかど・る)『はか
部	(ブ)〜(べ)(とり)(ふ)(ぺ)(ま)
埠	(フ)(ホ)〜(つか)(はとば)
蔀	(ホウ)(ダ)(ダン)(ブ)〜(しとみ)
餔	(ホ)(フ)〜(く・う)(ゆうめし)
簿	(ボ)
擦	(サツ)〜(す・る)(す・れる)(ず・れ)(こす・る)(こす・れる)『かする
擦り	こすり
猜	(サイ)〜(ねた・む)『そねむ
才	{才}纔。(サイ)『かど『ザイ『ざえ『ひたた
材	(ザイ)〜(き)(さい)
財	(ザイ)(サイ)(ゾク)〜(たから)
裁	(サイ)〜(た・つ)(さば・く)
纔	{才}纔。(サン)(ザン)(サイ)〜(わずか)『ひたた
采	{采}採。(サイ)〜(と・る)(いろどり)
採	{采}採。(サイ)〜(と・る)
彩	(サイ)〜(いろど・る)(あや)(さ)(さえ)(つや)『だみ
綵	(サイ)〜(あや)(あやぎぬ)
菜	(サイ)〜(な)(よう)
菜蕗	ふき
蔡	(サイ)
参	{參}参。(サン)(シン)〜(まい・る)(まい)(まじわる)(みつ)(み)『まゐ『みっつ
參	{參}参。(サン)(シン)〜(まい・る)(まじわる)(みつ)『まい『まゐ『みっつ
喰	(く・う)(く・らう)(じき)
餐	(サン)(ソン)〜(の・む)(くら・う)
驂	(サン)〜(そえうま)
残	{殘}残。(ザン)(サン)〜(のこ・る)(のこ・す)(そこな・う)(のこ・り)
蚕	{蠶}蚕。(サン)(テン)〜(かいこ)(こ)『かひ
蚕簿	{蠶簿}蚕簿。まぶし
殘	{殘}残。(ザン)〜(のこ・る)(のこ・す)(そこな・う)(のこ・り)
慚	{慚}慙。(ザン)〜(はじ)(はじ・る)
慙	{慚}慙。(ザン)〜(はじ)(はじ・る)
蠶	{蠶}蚕。(サン)(テン)〜(かいこ)(こ)『かひ
蠶簿	{蠶簿}蚕簿。まぶし
惨	{慘}惨。(サン)(ザン)〜(みじ・め)(いた・む)(むご・い)
慘	{慘}惨。(サン)〜(みじ・め)(いた・む)(むご・い)『ザン
粲	(サン)〜(いい)
燦	(サン)〜(さん・たる)(あき・らか)(きらめ・く)(きら・めく)
倉	(ソウ)〜(くら)『サウ
