過	EgOL_冎口辶〔CJK〕
𡧮	ABoUbi_宀日〔ExtB〕
𡨇	ABaUbi_宀白〔ExtB〕
𡇠	AkBaUbi_囗白〔ExtB〕
䆞	AvBoUbi_穴日匕〔ExtA〕
𥦒	AvBaUbi_穴白匕〔ExtB〕
𨵷	AmBoUm_門日皿〔ExtB〕
窤	AvBoUbiUbi_穴日匕〔CJK〕
𪢬	AkBoUbiUbi_囗日匕〔ExtC〕
𨶰	AmBv_門黃〔ExtB〕
𤗶	ApBv_片黃〔ExtB〕
𤖖	ApBv_爿黃〔ExtB〕
𨶯	AmBw_門黑〔ExtB〕
𥧤	AvBoWiNr_穴日小大〔ExtB〕
𡨶	ABoWu_宀日火〔ExtB〕
𪧖	ABaWu_宀白火〔ExtC〕
𡈝	AkBaYjY_囗白巾彡〔ExtB〕
𨴄	AmBoZ_門日乚〔ExtB〕
𥥗	AvBoZ_日乚〔ExtB〕
𥦦	AvBoZpXy_穴日又〔ExtB〕
置	AsCiEmuHi_罒十目一〔CJK〕
囱	Ac_囱〔CJK〕
	Ac_囱〔私用区〕
	Ac_囱〔私用区〕
憲	ACAsQi_宀罒心〔CJK〕
𤘂	ApCAsADxi_片艹罒冖夕〔ExtB〕
𤘁	ApCAHiKsi_片艹冖一豕〔ExtB〕
罱	AsCiAKy_罒十冂〔CJK〕
𨵴	AmCiAKy_門十冂〔ExtB〕
䦫	AmCANr_門艹冂大〔ExtA〕
憲	ACfAsQi_宀丰罒心〔兼容增补〕
𡩜	ACAs_宀罒〔ExtB〕
𡈌	AkCAkVbA_囗艹囗八冂〔ExtB〕
𡩡	ACiAYs_宀十冖糸〔ExtB〕
寞	ACBoNr_宀艹日大〔CJK〕
冪	ACBoNrYj_冖艹日大巾〔CJK〕
𡫌	ACBoNrFi_宀⺿日大力〔ExtB〕
𡈗	AkCBoNr_囗⺿日大〔ExtB〕
𫔩	AmCBoNr_門艹日大〔ExtC〕
羃	AsCBoNrYj_罒艹日大巾〔CJK〕
賽	ACjCvGb_宀貝〔CJK〕
𦞫	ACjCvDv_宀⺼〔ExtB〕
𥈽	ACjCvEmu_宀目〔ExtB〕
搴	ACjCvFs_宀手〔CJK〕
𪧔	ACjCvFi_宀力〔ExtC〕
赛	ACjCvGb_宀贝〔CJK〕
𧶼	ACCvGb_宀艹貝〔ExtB〕
𤗸	ApCiCGb_片十艹貝〔ExtB〕
𨙇	ACjCvGbL_宀貝辶〔ExtB〕
謇	ACjCvIi_宀言〔CJK〕
𡫪	ACjCvIRnXp_宀亠亻攴〔ExtB〕
弿	ACjCvJg_宀弓〔CJK〕
騫	ACjCvKma_宀馬〔CJK〕
䗙	ACjCvKc_宀虫〔ExtA〕
鶱	ACjCvKi_宀鳥〔CJK〕
𬸣	ACjCvKi_宀鸟〔ExtE〕
骞	ACjCvKma_宀马〔CJK〕
蹇	ACjCvLo_宀足〔CJK〕
䞿	ACjCvLt_宀走〔ExtA〕
寨	ACjCvMu_宀木〔CJK〕
𤗣	ApCiChMu_片十廿木〔ExtB〕
𤗥	ApCiCMu_片十艹木〔ExtB〕
𠹟	ACjCvO_宀口〔ExtB〕
𢞝	ACjCvQi_宀⺗〔ExtB〕
㥶	ACjCvQi_宀心〔ExtA〕
寒	ACjCvSb_宀゛〔CJK〕
𡬜	ACjCvSbACjCvSbACjCvSb_宀゛宀゛宀゛〔ExtB〕
𪧑	ACCvSb_宀艹゛〔ExtC〕
𡫶	ACjCvSbGwCg_宀゛王廾〔ExtB〕
𪧱	ACjCvSbTiO_宀゛士口〔ExtC〕
𪧦	ACjCvSv_宀氺〔ExtC〕
塞	ACjCvTu_宀土〔CJK〕
𡺶	ACjCvTs_宀山〔ExtB〕
塞	ACjCvTu_宀土〔兼容文字〕
𦋦	AsCgCU_罒廾屮凵〔ExtB〕
鬨	AdCCv_鬥艹〔CJK〕
𡨄	ACjCv_宀〔ExtB〕
𢩉	AhuCCv_户艹〔ExtB〕
閧	AmCCv_門艹〔CJK〕
𥥡	AvCCv_艹〔ExtB〕
𡩱	ACjCvVeZ_宀二ㄅ〔ExtB〕
褰	ACjCvYi_宀衣〔CJK〕
𢄏	ACjCvYj_宀巾〔ExtB〕
闀	AmCCvZsi_門艹巳〔CJK〕
寋	ACjCvZi_宀⺋〔CJK〕
𩰓	AdCCvZi_鬥艹⺋〔ExtB〕
𤗽	ApCChZMu_片⺿廿㇗木〔ExtB〕
圊	AkCDv_囗⺝〔CJK〕
実	ACfD_宀㇏〔CJK〕
䦮	AmCfDBo_門㇏日〔ExtA〕
寈	ACDv_宀⺝〔CJK〕
𨷧	AmCDvXzXv_門⺝爫〔ExtB〕
寬	ACErD_宀艹見丶〔CJK〕
𡈥	AkCElBo_囗⺿耂日〔ExtB〕
闐	AmCiEmuCv_門十目〔CJK〕
𠖩	ACiEmuCvEye_冖十目頁〔ExtB〕
𡬅	ACiEmuCvEye_宀十目頁〔ExtB〕
寘	ACiEmuCv_宀十目〔CJK〕
𠖕	ACiEmuCv_冖十目〔ExtB〕
𡈓	AkCiEmuCv_囗十目〔ExtB〕
阗	AmCiEmuCv_门十目〔CJK〕
窴	AvCiEmuCv_穴十目〔CJK〕
𡪨	ACErGsi_宀艹見厶〔ExtB〕
𫕾	AsCiEmuHiQv_罒十目一非〔ExtC〕
𡩼	ACiEmuMu_宀十目木〔ExtB〕
寛	ACEr_宀艹見〔CJK〕
宽	ACEr_宀艹见〔CJK〕
𡩖	ACiEr_宀十見〔ExtB〕
𪢯	AkCEr_囗艹見〔ExtC〕
𡪍	ACiEmuWu_宀十目灬〔ExtB〕
𪺣	ApCfFc_片寸〔ExtC〕
𡈉	AkCFO_囗⺿口〔ExtB〕
𨵫	AmCFO_門⺿口〔ExtB〕
𠂂	ACg_宀廾〔ExtB〕
𡧅	ACg_宀廾〔ExtB〕
𡩐	ACGa_宀田〔ExtB〕
𤖓	ApCGb_爿貝〔ExtB〕
𤗮	ApCGb_片貝〔ExtB〕
𢍍	AcCg_囪廾〔ExtB〕
𢍙	AcCg_囪廾〔ExtB〕
𡩝	ACiGsiGsiXji_宀十厶厶彐〔ExtB〕
𢨬	AhuCg_戶廾〔ExtB〕
㘟	AkCg_囗廾〔ExtA〕
𨷈	AmCGaLa_門艹田⽱〔ExtB〕
	AsCg_罒廾〔私用区〕
𥤬	AvCg_穴廾〔ExtB〕
𥤰	AvCg_廾〔ExtB〕
𧟤	AxCg_襾廾〔ExtB〕
𧟥	AxCg_覀廾〔ExtB〕
㝤	ACjHiATu_宀一冂土〔ExtA〕
𥧒	AvCjHiATu_一冂土〔ExtB〕
㝜	ACHiBo_宀艹一日〔ExtA〕
𡪤	ACHiCF_宀艹一艹〔ExtB〕
𨶱	AmCHiCF_門艹一艹〔ExtB〕
𧠁	AxCHiCF_西艹一艹〔ExtB〕
𤖐	ApCHiPPv_爿艹一丿〔ExtB〕
㸢	ApCHiPPv_片艹一丿〔ExtA〕
𦥁	AsCiHgTu_罒十土〔ExtB〕
𡇾	AkCHiUbiO_囗艹一口〔ExtB〕
𥩓	AvCHiUiQbuEgO_艹一米⺊冎口〔ExtB〕
𢨦	AhuCi_戶十〔ExtB〕
𦉴	AsCi_罒十〔ExtB〕
