過	EgOL_冎口辶〔CJK〕
𰧞	ToRGaBo_石⺈田日〔ExtG〕
𰧟	ToIiL_石言辶〔ExtG〕
𰧠	EsiQsFcTo_尸示寸石〔ExtG〕
𰧡	ToUyGa_石田〔ExtG〕
𰧢	ToNfNfBo_石夫夫曰〔ExtG〕
𰧣	UgaCvJnTo_斤石〔ExtG〕
𰧤	ToUzuXv_石⺮聿〔ExtG〕
𰧥	ToUzuTuFc_石⺮土寸〔ExtG〕
𰧦	ToRnRnRnRnBo_石人人人人日〔ExtG〕
𰧧	ToVhXjiJWu_石〢灬〔ExtG〕
𰧨	ToXyCiCMu_石又十艹木〔ExtG〕
𰧩	ToTuWuTuWu_石土土〔ExtG〕
𰧪	ToNfNfGb_石夫夫貝〔ExtG〕
𰧫	ToKtuKtu_石㲋兔〔ExtG〕
𰧬	ToTdNrXjiAYj_石大彐冖巾〔ExtG〕
𰧭	TiQs_士示〔ExtG〕
𰧮	QsC_礻丌〔ExtG〕
𰧯	QsHg_礻〔ExtG〕
𰧰	QsZY_礻ㄋ〔ExtG〕
𰧱	QsAVe_礻冂二〔ExtG〕
𰧲	RnUbQs_亻示〔ExtG〕
𰧳	QsHiBo_礻一日〔ExtG〕
𰧴	QsHkRD_礻匚丶〔ExtG〕
𰧶	QsJyiFg_礻弋工〔ExtG〕
𰧷	QsNrJg_礻大弓〔ExtG〕
𰧸	CiJgeQs_十戈示〔ExtG〕
𰧹	QsNvO_礻女口〔ExtG〕
𰧺	QsDxiDxi_礻夕夕〔ExtG〕
𰧻	QsRnWv_礻人云〔ExtG〕
𰧼	QsPFO_礻丿口〔ExtG〕
𰧽	QsPAO_礻丿冂口〔ExtG〕
𰧾	QsAYi_礻冖𧘇〔ExtG〕
𰧿	IBoQs_亠日示〔ExtG〕
𰨀	QsGwCg_礻王廾〔ExtG〕
𰨁	QsZTuTu_礻乚土土〔ExtG〕
𰨂	QsRuHiMu_礻入一朩〔ExtG〕
𰨃	QsRnRnTu_礻人人土〔ExtG〕
𰨄	QsGaNv_礻田女〔ExtG〕
𰨅	QsQv_礻非〔ExtG〕
𰨆	QsYaYaPp_礻幺幺几〔ExtG〕
𰨈	QsTaRnFc_礻广亻寸〔ExtG〕
𰨉	QsATd_礻宀㠯〔ExtG〕
𰨊	QsQNzL_礻子辶〔ExtG〕
𰨋	QsXzATu_礻爫冂土〔ExtG〕
𰨌	QsIvHo_礻可〔ExtG〕
𰨎	QsBaGa_礻白田〔ExtG〕
𰨏	QsDxiZiGa_礻夕⺋田〔ExtG〕
𰨑	QsHiGyORn_礻一由口人〔ExtG〕
𰨒	QsAHiGyVb_礻宀一由八〔ExtG〕
𰨓	QsZsiZsiCCv_礻巳巳艹〔ExtG〕
𰨔	LhQsEye_止示頁〔ExtG〕
𰨗	QsIzuOWu_示壴口灬〔ExtG〕
𰨘	AxQsLKz_覀示夂隹〔ExtG〕
𰨙	QsCIv_礻艹龠〔ExtG〕
𰨛	UhJd_禾刀〔ExtG〕
𰨜	UhTa_禾广〔ExtG〕
𰨝	UhCf_禾丰〔ExtG〕
𰨞	UhPjCi_禾九十〔ExtG〕
𰨟	UhHiAVe_禾一冂二〔ExtG〕
𰨠	UhOX_禾口〔ExtG〕
𰨡	UhGs_禾甲〔ExtG〕
𰨢	UhRnYe_禾亻也〔ExtG〕
𰨣	UhPVbF_禾丿丷〔ExtG〕
𰨤	UhZHiO_禾一口〔ExtG〕
𰨥	UhKuRe_禾儿〔ExtG〕
𰨦	UhIq_禾齐〔ExtG〕
𰨧	UhIzSp_禾亡〔ExtG〕
𰨨	UhXjiXji_禾彐彐〔ExtG〕
𰨩	HiEiUh_一自禾〔ExtG〕
𰨪	UhZTuTu_禾乚土土〔ExtG〕
𰨫	UhTsKb_禾山巴〔ExtG〕
𰨬	UhRSBo_禾⺈丨日〔ExtG〕
𰨭	UhGaNv_禾田女〔ExtG〕
𰨮	UhWuBo_禾火日〔ExtG〕
𰨯	UhAhuIf_禾户方〔ExtG〕
𰨰	UhPOLa_禾丿口⽱〔ExtG〕
𰨱	UhFOAO_禾口冂口〔ExtG〕
𰨲	EiMuUh_自木禾〔ExtG〕
𰨳	UhSbEqGb_禾冫欠贝〔ExtG〕
𰨴	UhUiJx_禾米殳〔ExtG〕
𰨵	CiAKyUhPp_十冂禾几〔ExtG〕
𰨶	UhQbuOUi_禾⺊口米〔ExtG〕
𰨷	UhAQiPTs_禾宀心丿山〔ExtG〕
𰨸	UhNfNfBo_禾夫夫曰〔ExtG〕
𰨺	UhAPOLa_禾宀丿口⽱〔ExtG〕
𰨻	UhXvApApHi_禾肀片爿一〔ExtG〕
𰨼	UhLoLO_禾⻊夂口〔ExtG〕
𰨽	UhXyXyXyADh_禾又又又冖且〔ExtG〕
𰨾	UhNrHiBaHiBa_禾大一白一白〔ExtG〕
𰨿	UhTaVhXjiJWu_禾广䒑〢灬〔ExtG〕
𰩀	UhACAsQi_禾宀罒心〔ExtG〕
𰩁	UhKyUhHiZJge_禾禾一ㄅ〔ExtG〕
𰩂	UhJgVbUzuTuFc_禾干丷⺮土寸〔ExtG〕
𰩃	UhEmuEmuKz_禾目目隹〔ExtG〕
𰩄	AvXyXy_穴又又〔ExtG〕
𰩅	AvKl_穴龙〔ExtG〕
𰩆	AvHkO_穴匚口〔ExtG〕
𰩇	AvDxiZi_穴夕卩〔ExtG〕
𰩈	AvPWi_穴小〔ExtG〕
𰩉	AvYaFi_穴幺力〔ExtG〕
𰩊	AvQbuHiWi_穴⺊一小〔ExtG〕
𰩋	AvZTuTu_穴乚土土〔ExtG〕
𰩌	TuGsiAvFi_土厶穴力〔ExtG〕
𰩍	AvFgQi_穴工心〔ExtG〕
𰩎	AvTyi_穴邑〔ExtG〕
𰩏	AvLMu_穴夂木〔ExtG〕
𰩐	AvNrDh_穴大且〔ExtG〕
𰩑	AvEmuCv_穴目〔ExtG〕
𰩒	AvQbuHiWiXy_穴⺊一小又〔ExtG〕
𰩓	AvHiLhEr_穴一止见〔ExtG〕
𰩔	AvTuTuTu_穴土土土〔ExtG〕
𰩕	PxAvQQ_及穴〔ExtG〕
𰩖	AvBoANv_穴日宀女〔ExtG〕
𰩗	AvCBoCi_穴艹日十〔ExtG〕
𰩘	AvQiBoGw_穴忄日王〔ExtG〕
𰩙	AvCBoNr_穴艹日大〔ExtG〕
𰩚	AvFgAxNv_穴工覀女〔ExtG〕
𰩛	AvUjPkWu_穴臼勹灬〔ExtG〕
𰩜	AvNrVbBoWu_穴大丷日灬〔ExtG〕
𰩝	AvBaIfJx_穴白方殳〔ExtG〕
𰩞	AvPjGbXp_穴九貝攵〔ExtG〕
𰩟	AvEyaUzuTuFc_穴牙⺮土寸〔ExtG〕
𰩠	LhIh_止立〔ExtG〕
𰩡	IhRnVe_立亻二〔ExtG〕
𰩣	IhRnMu_立亻木〔ExtG〕
𰩤	IhIvX_立六乂〔ExtG〕
𰩥	IhEhNr_立而大〔ExtG〕
𰩦	IhBoEmu_立⺜目〔ExtG〕
𰩧	YEyeIh_彡页立〔ExtG〕
𰩨	IhPqGaTu_立千田土〔ExtG〕
𰩩	TiEsJxIh_士殳立〔ExtG〕
𰩪	IhGaLO_立田夂口〔ExtG〕
𰩽	UzuVeUgu_⺮二瓜〔ExtG〕
𰪇	UzuMuHiVbJd_⺮木一八刀〔ExtG〕
𰪑	UzuRnJgeAX_⺮亻戈冂㐅〔ExtG〕
𰪒	IhUzuKl_立⺮龙〔ExtG〕
𰪘	UzuQiFgRnQs_⺮忄人示〔ExtG〕
𰪦	UiX_米乂〔ExtG〕
𰪧	UiCg_米廾〔ExtG〕
𰪩	UiTa_米广〔ExtG〕
𰪪	UiKma_米马〔ExtG〕
𰪫	UiVeZD_米二乛丶〔ExtG〕
𰪬	UiGw_米王〔ExtG〕
𰪭	UiYc_米长〔ExtG〕
𰪮	UiPCg_米丿廾〔ExtG〕
𰪯	UiGr_米壬〔ExtG〕
𰪰	EsUi_米〔ExtG〕
𰪲	UiHo_米可〔ExtG〕
𰪳	UiHiWu_米一火〔ExtG〕
𰪴	UiGs_米甲〔ExtG〕
𰪵	UiPNf_米丿夫〔ExtG〕
𰪶	UiAkFp_米囗才〔ExtG〕
𰪷	UiWiNr_米小大〔ExtG〕
𰪸	UiPjBo_米九日〔ExtG〕
𰪹	UiQL_米〔ExtG〕
𰪺	UiLv_米行〔ExtG〕
𰪻	UiXMu_米㐅木〔ExtG〕
𰪼	UiIvTc_米厂〔ExtG〕
𰪽	UiUhJd_米禾刂〔ExtG〕
𰪾	UiCfDF_米㇏〔ExtG〕
𰪿	UiCAFi_米艹冖力〔ExtG〕
𰫀	UiBoHiFc_米日一寸〔ExtG〕
𰫁	UiEbTu_米疒土〔ExtG〕
𰫂	UiUvDv_米北⺝〔ExtG〕
𰫃	UiALc_米冖車〔ExtG〕
𰫄	UiUjTu_米臼土〔ExtG〕
𰫅	UiSvLO_米氵夂口〔ExtG〕
𰫆	UiKma_米馬〔ExtG〕
𰫇	UiCRjO_米艹亼口〔ExtG〕
𰫈	UiPqUvVe_米千北二〔ExtG〕
𰫉	UiAJnCv_米宀〔ExtG〕
𰫊	UiApDxiSv_米丬夕水〔ExtG〕
𰫋	UiCUl_米艹两〔ExtG〕
𰫌	UiVbJdKtuRe_米八刀儿〔ExtG〕
𰫍	UiPqGaTuFi_米千田土力〔ExtG〕
𰫎	UiIiL_米言辶〔ExtG〕
𰫐	UiCfDUj_米㇏臼〔ExtG〕
𰫑	UiIoNzXp_米子攵〔ExtG〕
𰫒	UiABoL_米宀日疋〔ExtG〕
𰫓	UiVbAkWiBo_米丷囗⺌曰〔ExtG〕
𰫔	UiUyGsiVbL_米酉厶八夊〔ExtG〕
𰫕	UiIq_米齊〔ExtG〕
𰫖	UiCAmMuAkVb_米艹门木囗丷〔ExtG〕
𰫗	YsRu_糹入〔ExtG〕
𰫘	YsIz_糹亡〔ExtG〕
𰫙	YsNz_糹子〔ExtG〕
𰫚	YsHiYj_糹一巾〔ExtG〕
𰫛	YsPkGsi_糹勹厶〔ExtG〕
𰫜	YsRnPj_糹亻九〔ExtG〕
𰫝	YsXjiP_糹丿〔ExtG〕
𰫞	YsKl_糹龙〔ExtG〕
𰫟	YsOHiZ_糹口一ㄅ〔ExtG〕
𰫠	YsGs_糹甲〔ExtG〕
𰫡	YsCp_糹生〔ExtG〕
𰫢	YsXMu_糹㐅木〔ExtG〕
𰫣	YsZjO_糹己口〔ExtG〕
𰫤	YsZg_糹艮〔ExtG〕
𰫥	GaYsZZ_田糸乚〔ExtG〕
𰫦	YsRnQQ_糹亻〔ExtG〕
𰫧	YsAMu_糹宀木〔ExtG〕
𰫨	YsGsiOZHi_糹厶口一〔ExtG〕
𰫩	YsCRnUb_糹艹亻〔ExtG〕
𰫪	YsAsTs_糹罒山〔ExtG〕
𰫫	YsAkLSb_糹囗夂゛〔ExtG〕
𰫬	YsKuYjJd_糹牛巾刂〔ExtG〕
𰫭	YsWuZpXy_糹火又〔ExtG〕
𰫮	YsIvTcY_糹厂彡〔ExtG〕
𰫯	YsIoPp_糹几〔ExtG〕
𰫰	YsUzuXjiP_糹⺮丿〔ExtG〕
𰫱	NcXyYsQZyi_臣又糸乙〔ExtG〕
𰫲	YsIiL_糹言辶〔ExtG〕
𰫳	YsLtJdO_糹走刀口〔ExtG〕
𰫴	YsAkMuIh_糹囗木立〔ExtG〕
𰫵	YsNrHiBaHiBa_糹大一白一白〔ExtG〕
𰫶	RnAsHiOYiYs_亻罒一口糸〔ExtG〕
𰫷	YsKvBo_糹魚日〔ExtG〕
𰫸	YsACAsQi_糹宀罒心〔ExtG〕
𰫹	IiYsYsHiF_言糹糹一〔ExtG〕
𰫺	YsARnHiBaYs_糹宀亻一白糸〔ExtG〕
𰫻	COOKzEqYs_艹口口隹欠糸〔ExtG〕
𰫼	YsHd_纟丁〔ExtG〕
𰫽	YsWw_纟不〔ExtG〕
𰫾	YsVeRe_纟二儿〔ExtG〕
𰫿	YsOS_纟口丨〔ExtG〕
𰬀	YsRnJ_纟人〔ExtG〕
𰬁	YsAhu_纟户〔ExtG〕
𰬂	YsHo_纟可〔ExtG〕
𰬃	YsHiARn_纟一冂人〔ExtG〕
𰬄	YsHiPO_纟一丿口〔ExtG〕
𰬅	YsRnFc_纟亻寸〔ExtG〕
𰬆	YsPo_纟句〔ExtG〕
𰬇	YsDGw_纟丶王〔ExtG〕
𰬈	YsIYa_纟亠幺〔ExtG〕
𰬉	YsAUbi_纟宀匕〔ExtG〕
𰬊	YsVbHv_纟丷三〔ExtG〕
𰬋	YsJgGsi_纟弓厶〔ExtG〕
𰬌	YsHiDvHi_纟一月一〔ExtG〕
𰬍	YsNfVb_纟夫丷〔ExtG〕
𰬎	YsUbiUbiCi_纟匕十〔ExtG〕
𰬏	YsPMw_纟丿未〔ExtG〕
𰬐	YsPNrJ_纟丿大〔ExtG〕
𰬑	YsRXv_纟⺈〔ExtG〕
𰬒	YsSbEq_纟冫欠〔ExtG〕
𰬓	YsKh_纟亥〔ExtG〕
𰬔	YsVhCg_纟䒑廾〔ExtG〕
𰬖	YsJpZ_纟戊〔ExtG〕
𰬗	YsHiSvD_纟一氺丶〔ExtG〕
𰬘	YsCiANz_纟十冖子〔ExtG〕
𰬙	YsHc_纟辰〔ExtG〕
𰬚	YsOGb_纟口贝〔ExtG〕
𰬛	YsKzi_纟豸〔ExtG〕
𰬜	YsKtuRe_纟儿〔ExtG〕
𰬝	YsAmBo_纟门日〔ExtG〕
𰬞	YsXjiAXy_纟冖又〔ExtG〕
𰬟	YsJgeOHi_纟戈口一〔ExtG〕
𰬠	YsHiGaU_纟一田凵〔ExtG〕
𰬡	YsHiXjiLh_纟一龰〔ExtG〕
𰬢	YsHiXvNv_纟一肀女〔ExtG〕
𰬣	YsBoPkY_纟日勹〔ExtG〕
𰬤	YsBaPCi_纟白丿十〔ExtG〕
𰬥	YsVbGsiQi_纟八厶心〔ExtG〕
𰬦	YsPkYQi_纟勹心〔ExtG〕
𰬧	YsWuWu_纟火火〔ExtG〕
𰬨	YsNzUm_纟子皿〔ExtG〕
𰬩	YsXvJVb_纟肀八〔ExtG〕
𰬪	YsGsiNrY_纟厶大彡〔ExtG〕
𰬫	YsHgTuXp_纟土攵〔ExtG〕
𰬬	YsCGa_纟艹田〔ExtG〕
𰬭	YsTuTuFc_纟土土寸〔ExtG〕
𰬮	YsNrAKu_纟大冖牛〔ExtG〕
𰬯	YsXUVbL_纟㐅凵八夊〔ExtG〕
𰬰	YsPkYDQi_纟勹丶心〔ExtG〕
𰬱	YsCiAYs_纟十冖糸〔ExtG〕
𰬲	YsTcBaWi_纟厂白小〔ExtG〕
𰬳	YsVhCL_纟䒑辶〔ExtG〕
𰬴	YsAUx_纟宀辛〔ExtG〕
𰬵	YsIfQL_纟方疋〔ExtG〕
𰬶	YsEvBa_纟羽白〔ExtG〕
𰬷	YsCHiDvXp_纟艹一⺝攵〔ExtG〕
𰬸	YsHiBoGsiQi_纟一日心〔ExtG〕
𰬹	YsKzA_纟隹〔ExtG〕
𰬺	YsVbUyFc_纟丷酉寸〔ExtG〕
𰬻	YsJmAvO_纟矛口〔ExtG〕
𰬼	YsMuORGb_纟木口⺈贝〔ExtG〕
𰬽	YsEjJdKu_纟角刀牛〔ExtG〕
𰬾	YsTaVhXjiWu_纟广䒑〔ExtG〕
𰬿	YsRnWhKyD_纟亻业⺶㇏〔ExtG〕
𰭀	YsEyeQiL_纟心夂〔ExtG〕
𰭁	YsCAcQi_纟艹囱心〔ExtG〕
𰭂	UfVb_缶八〔ExtG〕
𰭃	UfXy_缶又〔ExtG〕
𰭄	UfNgGb_缶毌贝〔ExtG〕
𰭅	UfTaXjiSv_缶广氺〔ExtG〕
𰭆	UfCHiKz_缶艹一隹〔ExtG〕
𰭇	UfGaGaGa_缶田田田〔ExtG〕
𰭈	AsXp_罒攴〔ExtG〕
𰭊	ARnMuJd_冂人木刂〔ExtG〕
𰭌	AsKy_罒羊〔ExtG〕
𰭍	ARnKtuRe_冂人儿〔ExtG〕
𰭎	AsUx_罒辛〔ExtG〕
𰭏	ARnJgeOHi_冂人戈口一〔ExtG〕
𰭐	AvEmuCv_⺳目〔ExtG〕
𰭑	AsSvTuGsi_罒氵土厶〔ExtG〕
𰭒	AXAHiKsi_冂乂冖一豕〔ExtG〕
𰭓	AXYsNs_冂乂糹氏〔ExtG〕
𰭔	AsYsODv_罒纟口⺝〔ExtG〕
𰭕	ARnYsDh_冂人糹且〔ExtG〕
𰭖	AXXIiYsYs_冂乂乂言糹糹〔ExtG〕
𰭗	KyPp_羊几〔ExtG〕
𰭙	KyVhCg_羊䒑廾〔ExtG〕
𰭚	KyUiNv_羊米女〔ExtG〕
𰭛	KyNrHiSvD_大一氺丶〔ExtG〕
𰭜	KyEmuEmu_羊目目〔ExtG〕
𰭝	EvHi_羽一〔ExtG〕
𰭞	EvVeJ_羽二〔ExtG〕
𰭟	PxEv_及羽〔ExtG〕
𰭠	EvEsiD_羽尸丶〔ExtG〕
𰭡	EvCXyD_羽又丶〔ExtG〕
𰭢	EvNfVb_羽夫丷〔ExtG〕
𰭣	CfFcEv_寸羽〔ExtG〕
𰭤	BoPkYEv_日勹羽〔ExtG〕
𰭥	EvJgeOHiY_羽戈口一彡〔ExtG〕
𰭦	XmGaEvMuHi_釆田羽木一〔ExtG〕
𰭧	ElZ_耂乚〔ExtG〕
𰭨	ElHiF_耂一〔ExtG〕
𰭩	NrEl_大老〔ExtG〕
𰭪	NmEl_母老〔ExtG〕
𰭫	ElOIvX_老口六乂〔ExtG〕
𰭬	TiEh_士而〔ExtG〕
𰭭	TsEhQQ_山而〔ExtG〕
𰭮	TsEhDh_山而且〔ExtG〕
𰭯	ZgHrEh_旡而〔ExtG〕
𰭱	UlRnJ_耒人〔ExtG〕
𰭲	UlAsNrKy_耒罒大〔ExtG〕
𰭳	EePGsi_耳丿厶〔ExtG〕
𰭴	EeHy_耳尤〔ExtG〕
𰭵	EeHiQbuZ_耳一⺊ㄅ〔ExtG〕
𰭶	VbXEe_八乂耳〔ExtG〕
𰭷	EeQCi_耳十〔ExtG〕
𰭸	FgZiEe_工卩耳〔ExtG〕
𰭹	EeKl_耳龙〔ExtG〕
𰭺	NvXyEe_女又耳〔ExtG〕
𰭻	EeEhEh_耳而而〔ExtG〕
𰭽	XvElBo_肀耂日〔ExtG〕
𰭾	ErrZ_肉乚〔ExtG〕
𰮀	VbErr_八肉〔ExtG〕
𰮁	DvJd_月刀〔ExtG〕
𰮂	ErrFi_肉力〔ExtG〕
𰮃	DvWi_月小〔ExtG〕
𰮄	OErr_口肉〔ExtG〕
𰮅	DvYx_月乡〔ExtG〕
𰮆	ErrZsi_肉巳〔ExtG〕
𰮇	DvHiHy_月一尢〔ExtG〕
𰮈	ErrHiYj_肉一巾〔ExtG〕
𰮉	ErrWw_肉不〔ExtG〕
𰮊	DvKu_月牛〔ExtG〕
𰮋	DvVbPp_月几〔ExtG〕
𰮌	PkXyDv_勹又月〔ExtG〕
𰮍	XxErr_爻肉〔ExtG〕
𰮎	XUErr_㐅凵肉〔ExtG〕
𰮏	ErrJx_肉殳〔ExtG〕
𰮐	DvAPp_月冖几〔ExtG〕
𰮑	HiGsiErr_一厶肉〔ExtG〕
𰮒	DvHkZ_月匚コ〔ExtG〕
𰮓	DvJyiVe_月弋二〔ExtG〕
𰮔	UvErr_北肉〔ExtG〕
𰮕	UgaErr_甘肉〔ExtG〕
𰮖	ErrHiLh_肉一止〔ExtG〕
𰮗	QbuODv_⺊口月〔ExtG〕
𰮘	ErrDh_肉且〔ExtG〕
𰮙	DvRXji_月⺈彐〔ExtG〕
𰮚	DvZnWi_月乃小〔ExtG〕
𰮛	ErrCp_肉生〔ExtG〕
𰮜	ErrGsiO_肉厶口〔ExtG〕
𰮝	DvJgeHiRe_月一儿〔ExtG〕
𰮞	ErrNrL_肉大㐄〔ExtG〕
𰮟	DvNrL_月大㐄〔ExtG〕
𰮠	DvXFGsi_月㐅厶〔ExtG〕
𰮡	DvHiYjVb_月一巾八〔ExtG〕
𰮢	PkXUErr_勹㐅凵肉〔ExtG〕
𰮣	ErrRKb_肉⺈巴〔ExtG〕
𰮥	DvZTuTu_月乚土土〔ExtG〕
𰮦	DvTuJge_月土戈〔ExtG〕
𰮧	ARnRnHuO_冂人人五口〔ExtG〕
𰮨	WiUXyErr_小凵又肉〔ExtG〕
𰮩	DvKqKq_月犭犬〔ExtG〕
𰮪	ErrXzNz_肉爫子〔ExtG〕
𰮫	MuMuErr_木木肉〔ExtG〕
𰮬	DvEmuCv_月目〔ExtG〕
𰮭	DvKm_月黾〔ExtG〕
𰮮	ErrCAFi_肉艹冖力〔ExtG〕
𰮯	DvAhuIf_月户方〔ExtG〕
𰮰	DvJnL_月斤辶〔ExtG〕
𰮱	DvPkYDv_月勹⺼〔ExtG〕
𰮲	DvXvJVb_月肀八〔ExtG〕
𰮳	DvNzUm_月子皿〔ExtG〕
𰮴	JgUvDv_弓北⺝〔ExtG〕
𰮵	DvTuKh_月土亥〔ExtG〕
𰮶	CiAKyErr_十冂肉〔ExtG〕
𰮷	DvCFO_月艹口〔ExtG〕
𰮸	DvGbJd_月貝刂〔ExtG〕
𰮹	DvOSVbF_月口丨丷〔ExtG〕
𰮺	DvOSHiDv_月口丨一月〔ExtG〕
𰮻	ErrUjRn_肉臼人〔ExtG〕
𰮼	DvKtu_月㲋〔ExtG〕
𰮽	DvUb_月香〔ExtG〕
𰮾	DvAWuXy_月宀火又〔ExtG〕
𰮿	DvKbEp_月巴皮〔ExtG〕
𰯀	DvLeOXyU_月了口又凵〔ExtG〕
𰯁	DvHiNrKc_月一大虫〔ExtG〕
𰯂	DvJUzuUm_月〢皿〔ExtG〕
𰯃	DvTsLCf_月山夂丰〔ExtG〕
𰯄	DvOOHiYj_月口口一巾〔ExtG〕
𰯅	DvCPkBo_月艹勹日〔ExtG〕
𰯆	ErrOOHiYj_肉口口一巾〔ExtG〕
𰯇	LSbGaDv_夂゛田⺝〔ExtG〕
𰯈	DvVbNfFs_月丷夫手〔ExtG〕
𰯉	DvIxEe_月文耳〔ExtG〕
𰯊	DvJmQs_月矛示〔ExtG〕
𰯋	XyKzErr_又隹肉〔ExtG〕
𰯌	DvNrRnRnQi_月大人人⺗〔ExtG〕
𰯍	DvWsZsi_月雨巳〔ExtG〕
𰯎	DvCUl_月艹两〔ExtG〕
𰯏	DvCHgMu_月⺿木〔ExtG〕
𰯐	DvRGaBo_月⺈田日〔ExtG〕
𰯑	DvTaXjiSv_月广氺〔ExtG〕
𰯓	DvXjiDxiYjXy_月彐夕巾又〔ExtG〕
𰯔	DvFgEeXp_月工耳攵〔ExtG〕
𰯕	DvCiAsHiQi_月十罒一心〔ExtG〕
𰯖	TcVhCEqErr_厂䒑欠肉〔ExtG〕
𰯗	DvWaFs_月手〔ExtG〕
𰯘	DvRAsFXyD_月⺈罒又丶〔ExtG〕
𰯙	DvVbNfTuTu_月丷夫土土〔ExtG〕
𰯚	DvWuWuWu_月火火火〔ExtG〕
𰯛	DvIWuKc_月亠虫〔ExtG〕
𰯜	AhuDvQiBa_户⺝忄白〔ExtG〕
𰯝	DvJdJdLhLh_月刀刀止止〔ExtG〕
𰯞	DvAsNrKy_月罒大〔ExtG〕
𰯟	DvTeFDvL_月阝⺝辶〔ExtG〕
𰯠	GsiOKzErr_厶口隹肉〔ExtG〕
𰯡	DvCSvHp_月艹氵甫〔ExtG〕
𰯢	DvVbOReIxO_月丷口儿文口〔ExtG〕
𰯣	ErrAEsGb_肉宀貝〔ExtG〕
𰯤	DvAmRSBo_月門⺈丨日〔ExtG〕
𰯥	RnRjOORnRnErr_亻亼口口人人肉〔ExtG〕
𰯦	ErrACEr_肉宀艹見〔ExtG〕
𰯧	DvTaVhXjiJWu_月广䒑〢灬〔ExtG〕
𰯨	DvYiAsSv_月衣罒水〔ExtG〕
𰯩	DvIOOKz_月亠口口隹〔ExtG〕
𰯪	DvEvKzXy_月羽隹又〔ExtG〕
𰯬	DvGaGaGaYs_月田田田糸〔ExtG〕
𰯭	KtuKtuKtuDv_兔兔兔月〔ExtG〕
𰯮	NcQbuZ_臣卜ヿ〔ExtG〕
𰯯	NcJx_臣殳〔ExtG〕
𰯰	NcOXy_臣口又〔ExtG〕
𰯱	NcXyJn_臣又斤〔ExtG〕
𰯳	NcXjiAYj_臣彐冖巾〔ExtG〕
𰯴	EiYj_自巾〔ExtG〕
𰯵	EiJgJ_自弓〔ExtG〕
𰯶	EiCgJg_自廾干〔ExtG〕
𰯷	EiKqBoCp_自犬日生〔ExtG〕
𰯸	UjMuMu_臼木木〔ExtG〕
𰯹	UjGaMu_臼田木〔ExtG〕
𰯺	UjGaFiPj_臼田力九〔ExtG〕
𰯻	PqUjXvL_千臼聿廴〔ExtG〕
𰯽	EoQbuHiQbu_舌⺊一卜〔ExtG〕
𰯾	EoQiP_舌心丿〔ExtG〕
𰯿	EoEp_舌皮〔ExtG〕
𰰀	EoAkNr_舌囗大〔ExtG〕
𰰁	EoOPO_舌口丿口〔ExtG〕
𰰂	QQRnEo_人〔ExtG〕
𰰃	EoKtuRe_舌儿〔ExtG〕
𰰄	EoXjiWu_舌彐火〔ExtG〕
𰰅	EoJdDQi_舌刀丶心〔ExtG〕
𰰆	EoVbGaCi_舌丷田十〔ExtG〕
𰰇	EoTcGaTu_舌厂田土〔ExtG〕
𰰈	EoXzKsi_舌爫豕〔ExtG〕
𰰉	EoRjOEv_舌亼口羽〔ExtG〕
𰰊	HkWiLv_匚小舛〔ExtG〕
𰰋	LzXyXy_舟又又〔ExtG〕
𰰌	LzRXji_舟⺈彐〔ExtG〕
𰰍	LzVhZpXy_舟又〔ExtG〕
𰰎	CiBoCiLz_十日十舟〔ExtG〕
𰰏	LzCsaAYj_舟卅冖巾〔ExtG〕
𰰐	LzCRnFc_舟艹亻寸〔ExtG〕
𰰑	LzUiNv_舟米女〔ExtG〕
𰰒	LzGwJdGw_舟王王〔ExtG〕
𰰓	LzKzL_舟隹辶〔ExtG〕
𰰔	ADZg_⺆丶艮〔ExtG〕
𰰖	RKbIh_⺈巴立〔ExtG〕
𰰗	RKbAHd_⺈巴宀丁〔ExtG〕
𰰘	RjZORKb_亽ヿ口⺈巴〔ExtG〕
𰰙	PqGaTuRKb_千田土⺈巴〔ExtG〕
𰰚	RKbIWuQi_⺈巴亠心〔ExtG〕
𰰛	RKbBw_⺈巴黑〔ExtG〕
𰰜	CCi_艹十〔ExtG〕
𰰝	VhX_䒑乂〔ExtG〕
𰰞	CX_艸乂〔ExtG〕
𰰟	CZZ_艹乚〔ExtG〕
𰰠	CHiZHi_艹一ㄅ一〔ExtG〕
𰰡	CAHi_艹冖一〔ExtG〕
𰰢	CZY_艹ㄋ〔ExtG〕
𰰣	VhJgS_䒑弓丨〔ExtG〕
𰰤	CHkX_艹匸㐅〔ExtG〕
𰰥	CHiC_艹一艸〔ExtG〕
𰰦	VhWiP_䒑小丿〔ExtG〕
𰰨	CRnUbi_艹人匕〔ExtG〕
𰰩	CUdu_艹斗〔ExtG〕
𰰪	CZTu_艹ヿ土〔ExtG〕
𰰬	CHiWu_艹一火〔ExtG〕
𰰭	COXy_艹口又〔ExtG〕
𰰮	CJXji_艹リ彐〔ExtG〕
𰰯	CRnZnZ_艹亻乃ヿ〔ExtG〕
𰰰	CKqZi_艹犭⺋〔ExtG〕
𰰱	CXyFc_艹又寸〔ExtG〕
𰰲	CJgeJd_艹戈刂〔ExtG〕
𰰳	CJHiYj_艹リ一巾〔ExtG〕
𰰴	CTsZj_艹山己〔ExtG〕
𰰵	CXMu_艹㐅木〔ExtG〕
𰰶	CPjMu_艹九木〔ExtG〕
