㢟	<𨔢>
㢠	<迥>
㢡	<奬>「獎」
㢣	<擎>
㢧	<卷>_<勺>
㢨	<𢏥>
㢩	<的>
㢪	<弙>
㢬	{彋}
㢭	<弢>
㢮	<弛>
㢯	<弴>
㢲	<巽>
㢳	<玈>
㢴	<西>
㢵	<韘>「弽」
㢶	<弼>
㢸	<弼>
㢺	<弦>
㢻	<𢏴>
㢼	<彆>
㢽	<餌>
㣃	<鬻>
㣅	<𢏵𢐛𢑊𣩳>
㣆	<彌>_<𢑃>
㣇	<𠭽㣇𢑞𡱃𧱈>
㣈	<𠭾𠮇𨽼>「-肆」_<𢅜>
㣉	<工>
㣋	<丹>
㣍	<台>
㣎	<𢒮>
㣏	<静>
㣐	<變>
㣑	<容>
㣘	{䞤}「跔」
㣙	<宙>
㣚	<侗衕>
㣛	<會>
㣠	<佟>{終攸}
㣤	<踐>
㣥	<偫>
㣦	<逶>
㣧	<胤>
㣫	<徸動踵>
㣬	<𢕃>
㣭	<𨔩>
㣰	<僁>
㣱	<䟄>
㣲	<微>
㣵	<㒓>
㣶	<邅>
㣻	<㐅>
㣼	<忍>{剝}
㣽	<怒恕>
㣿	<𢗇>
㤀	<忘>
㤁	<忝>
㤂	<急>{忣}
㤃	<妨>
㤄	<𢘀𢘨>
㤅	<忌愛>_<𢙴𢟪>
㤇	<懊>
㤉	<𢗬愘>
㤊	<恔>
㤍	<巧>
㤐	<怗>
㤑	<忧>「憂」
㤒	{笨}
㤔	{怤}
㤖	<詝>
㤗	{泰}
㤘	[㥮-㤘]
㤙	[㤙⇀恩]
㤛	<恁>
㤜	<怴>
㤞	<𢖲𢜬>
㤟	<恐>
㤠	<㤡>
㤡	<𢤆㤠>
㤣	<恲>{怦}
㤤	<㥚>
㤩	<恪>_<愙>
㤪	<怨>
㤫	{惠德}
㤬	<恚>
㤭	（憍）
㤮	<𢞪>
㤰	<怍>
㤱	<𢠲>
㤲	<悏>
㤵	<慈>
㤸	<㦦>
㤹	<救𢛃>
㤺	<慌>
㤻	<𢘴𢘵>
㤽	（懤）
㤾	<憛>
㤿	<𢜰>
㥀	<德>
㥁	<德>{惪}_<𢛳>
㥃	<悶>
㥆	<怢𢘶𢠮𢠻>
㥈	<惵>
㥉	<𢜳>
㥊	<恲>
㥍	<惎>
㥎	<𢤂>
㥏	<睓>
㥐	{怨}
㥑	{憂}_<𢝊>
㥒	<猜>
㥕	<憐>
㥚	<㤤>
㥛	<𢞊>
㥝	<弭>
㥞	<𢢝𢤪>{邃}
㥟	<𢠟>_<𢞶>
㥠	<𢝒諝>
㥢	<𢢕>
㥣	<惠>
㥤	<矜>
㥦	[㥦⇀愜]<筴>
㥧	<順>
㥪	（慺）
㥫	[㥫⇀惇]
㥭	<忲>
㥮	[㥮-㤘]<皺>
㥯	<㦩>{急}
㥱	<悱>
㥲	[㥲⇀德]<慎>_「謓」
㥵	<慁>
㥶	<𢞝𢤑𢥛𢥜塞愆>{寒}
㥷	<瘱>
㥸	<愍>{閔}
㥺	<熆>
㥽	<嘖𢢻責>
㥿	<慠>
㦁	<慩𢣜>
㦂	<常>
㦄	<𩔶>
㦅	<慸>
㦉	<懿>
㦍	<愕>
㦎	[㦎-𢛯]<𢟸>
㦑	<憨>
㦒	<謧>
㦓	<㒄>
㦔	<懕>
㦖	<懣>
㦗	<𢙿>
㦘	<憿>
㦚	<𢣑>_<𢤴>
㦛	<𢣟懙>
㦜	<戄>
㦝	<𢤧>
㦞	[㦞-𪫷]<懤>
㦟	<𢟆>
㦡	<樂>
㦣	<讆讏>{寱}
㦤	<懿>
㦥	<愋>
㦦	<㤸>
㦧	<憯>
㦨	<懶>「嬾」
㦩	<㥯>
㦪	<𢥥>
㦭	<怜>
㦯	<或>
㦰	<𢦜>
㦱	{我}
㦲	<哉>
㦳	{栽在}
㦴	<㪾>{格}
㦵	<誅>
㦶	<迭>{戜}
㦷	<勇>
㦸	<戟>
㦺	<𢾯>
㦻	<襲>
㦽	<戫彧>_<𢒰>
㦾	<扅>
㦿	<户>_<戶>
㧁	<𢈊>
㧂	<屇>
㧃	<收摎>
㧅	{扐}
㧈	<引>
㧊	<𢪹>
㧌	<芼>{托}
